City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
476,Muli,MV,84.81,overcast clouds,2.92,73.57,Medhufushi Island Resort
477,Mwense,ZM,87.84,clear sky,-10.38,28.7,GrandPalm Lodge
479,Sarangani,PH,83.55,overcast clouds,5.4,125.46,Ballistic Islet
480,Monte Carmelo,BR,72.5,overcast clouds,-18.72,-47.5,Park hotel
483,Thinadhoo,MV,85.19,broken clouds,0.53,72.93,
484,Gardan Diwal,MV,85.19,broken clouds,0.53,72.93,
486,Kamina,CD,89.62,clear sky,-8.74,24.99,Guest House la Grace
491,Coahuayana,MX,73.4,broken clouds,18.73,-103.68,Hotel Los Arcos
492,Khargone,IN,88.07,scattered clouds,21.82,75.6,Vallabha Hotel
493,Ribeira Brava,PT,75.99,clear sky,32.65,-17.07,Hotel do Campo
497,Bousso,TD,88.65,broken clouds,10.48,16.71,
499,Harrison,US,84.99,clear sky,30.41,-89.04,Residence Inn by Marriott Gulfport-Biloxi Airport
500,Zlobin,HR,81.0,clear sky,45.29,14.65,Sobe Zlobin
504,Westport,US,79.0,clear sky,41.14,-73.36,The Westport Inn
507,Naze,JP,82.4,overcast clouds,28.37,129.48,奄美ポートタワーホテル
508,Vaitape,PF,79.52,overcast clouds,-16.52,-151.75,Hotel Maitai Polynesia
509,Media Luna,CU,84.27,few clouds,20.14,-77.44,Casa particular Pedro y Tamara
510,Oktyabrskiy,RU,77.16,clear sky,54.48,53.47,Уязы-Тау гостиница
512,Gimli,CA,71.01,broken clouds,50.63,-96.99,Lakeview Gimli Resort
513,Santa Maria Del Oro,MX,77.56,broken clouds,25.93,-105.37,Hotel Palacio Del Sol
516,Apiai,BR,72.82,clear sky,-24.51,-48.84,Pousada Villa Branca
517,Burica,BR,72.82,clear sky,-24.51,-48.84,Pousada Villa Branca
519,San Pedro,PH,86.0,scattered clouds,14.35,121.02,OYO 412 Viewfort Venue
520,Warqla,PH,86.0,scattered clouds,14.35,121.02,OYO 412 Viewfort Venue
523,Cockburn Town,TC,82.76,broken clouds,21.46,-71.14,Osprey Beach Hotel
524,Mwingi,KE,81.21,overcast clouds,-0.93,38.06,Thorn Tree by The Address
525,Stephenville,US,79.0,clear sky,32.22,-98.2,Holiday Inn Express & Suites Stephenville
526,Gat,IL,84.99,clear sky,31.61,34.76,רגע בנחת
527,Diamantino,BR,85.77,overcast clouds,-14.41,-56.45,Hotel Delta
529,Kavos,GR,90.0,clear sky,38.83,22.83,Kavos Villa
530,Chandbali,IN,85.93,overcast clouds,20.78,86.77,KABITA HOMES
531,Puerto Escondido,MX,77.0,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
534,Vila Franca Do Campo,PT,73.4,broken clouds,37.72,-25.43,Pestana Bahia Praia
535,Upata,VE,78.01,clear sky,8.01,-62.4,Posada Villa Nela
539,Barra,BR,83.41,clear sky,-11.09,-43.14,Pousada Bahia
542,Praia,CV,82.4,broken clouds,14.92,-23.51,LT Aparthotel
545,Gornopravdinsk,RU,73.98,clear sky,60.05,69.9,
546,Sibanicu,CU,82.4,broken clouds,21.23,-77.53,
547,Evanston,US,77.0,scattered clouds,42.04,-87.69,Hilton Garden Inn Chicago North Shore/Evanston
549,Limon,CR,75.2,drizzle,10.0,-83.03,Hotel Playa Bonita
551,Kabwe,ZM,81.25,clear sky,-14.45,28.45,Tuskers
553,Ouesso,CG,88.75,overcast clouds,1.61,16.05,Hôtel ABENI
555,Halalo,MX,78.87,light rain,17.96,-102.2,Hotel Quinta Antigua
556,Saint-Georges,GD,86.0,few clouds,12.06,-61.75,Radisson Grenada Beach Resort
558,Buchanan,LR,82.4,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
561,Takoradi,GH,78.08,broken clouds,4.88,-1.76,Raybow International Hotel
562,Atasu,KZ,83.71,broken clouds,48.68,71.64,Dostyk
563,Ishigaki,JP,85.46,clear sky,24.34,124.16,Hotel Peace Land Ishigakijima
564,Orobo,BR,71.6,shower rain,-7.75,-35.6,Hotel Pousada Aguiar
565,Tomatlan,MX,77.95,overcast clouds,19.93,-105.25,Norma franco
568,Maputo,MZ,73.99,clear sky,-25.97,32.59,Pestana Rovuma
571,Zanjan,IR,73.4,scattered clouds,36.67,48.48,Qasr Hotel
576,Nurlat,RU,76.95,clear sky,54.43,50.81,Gostinitsa Zhiguli
579,Kota Kinabalu,MY,77.0,light rain,5.97,116.07,Gaya Centre Hotel
580,Saltpond,GH,78.75,broken clouds,5.21,-1.06,Mfantseman Beach Resort
581,Betamcherla,IN,85.15,overcast clouds,15.47,78.17,SHAFI SLAB POLISHING INDUSTRIES
582,Gitarama,RW,82.4,scattered clouds,-2.07,29.76,Muhanga in Cyakabiri Motel
583,Tibiri,NE,82.4,broken clouds,13.56,7.05,
585,Sao Joao Do Piaui,BR,86.36,scattered clouds,-8.36,-42.25,Nayra Palace Hotel
588,Cedar City,US,71.6,clear sky,37.68,-113.06,Hampton Inn Cedar City
590,Surt,LY,81.27,clear sky,31.21,16.59,City Hotel
593,Namibe,AO,73.08,clear sky,-15.2,12.15,Hotel Chik Chik Namibe
599,Peniche,PT,73.0,clear sky,39.36,-9.38,Hotel Star inn Peniche
600,Kununurra,AU,73.4,overcast clouds,-15.77,128.73,Hotel Kununurra
604,Martapura,ID,73.17,overcast clouds,-3.42,114.85,Montana Hotel Syariah
605,Gizo,SB,81.86,overcast clouds,-8.1,156.84,Imagination Island
606,Kharian,PK,89.6,smoke,32.81,73.86,Jungle Hut - Pabbi Forest Park
607,Labrea,BR,89.91,clear sky,-7.26,-64.8,Hotel Novo Horizonte
610,Algiers,DZ,86.0,few clouds,36.75,3.04,Sofitel Algiers Hamma Garden
611,Okmulgee,US,75.2,clear sky,35.62,-95.96,Holiday Inn Express & Suites Okmulgee
617,Lafia,NG,86.0,overcast clouds,8.48,8.52,Low Cost Housing Estate
618,Estelle,US,90.0,clear sky,29.85,-90.11,Comfort Inn Marrero - New Orleans West
619,Aranos,,75.25,clear sky,-24.13,19.12,Ley-Lia Guest House
